"ID","GRIDCODE","gridcode_1","fire_id","F_AREA","score.building","score.habitat","score.invasive","score.isol","score.RelAbundance","Total","RelativeTotal","Rank"
"28389","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28391","113","113","WA4724812058320120908",3600,0,0.5,0.982334103385123,0,0.510568094873757,1.99290219825888,0.04,129
"28394","113","113","WA4724812058320120908",2700,0,0.5,0,0.0912111152989401,0.510568094873757,1.1017792101727,0.02,1101.5
"28395","113","113","WA4724812058320120908",1800,0,0.5,0,0.0815817016448004,0.510568094873757,1.09214979651856,0.02,1232
"28398","113","113","WA4724812058320120908",1800,0,0.5,0,0.0912111152989401,0.510568094873757,1.1017792101727,0.02,1101.5
"28399","113","113","WA4724812058320120908",7200,0,0.5,0.93883637819205,0,0.510568094873757,1.94940447306581,0.04,169
"28405","113","113","WA4724812058320120908",2700,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28406","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28409","113","113","WA4724812058320120908",1800,0,0.5,0.973461621779784,0.00568416450404268,0.510568094873757,1.98971388115758,0.04,133
"28413","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28418","113","113","WA4724812058320120908",2700,0,0.5,0,0.219665454301863,0.510568094873757,1.23023354917562,0.03,773
"28420","113","113","WA4724812058320120908",2700,0,0.5,0,0.122372552467201,0.510568094873757,1.13294064734096,0.03,975.5
"28421","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.995552792654935,1.53634364347734,0.03,327
"28426","113","113","WA4724812058320120908",3600,0,0.5,0.790499210828233,0,0.510568094873757,1.80106730570199,0.04,232
"28429","113","113","WA4724812058320120908",1800,0,0.5,0,0.147073504209966,0.510568094873757,1.15764159908372,0.03,883.5
"28432","113","113","WA4724812058320120908",2700,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28438","113","113","WA4724812058320120908",6300,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28440","113","113","WA4724812058320120908",3600,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28447","113","113","WA4724812058320120908",4500,0,0.5,0,0.0407908508224002,0.995552792654935,1.53634364347734,0.03,327
"28448","113","113","WA4724812058320120908",1800,0,0.5,0,0.128991996294937,0.510568094873757,1.13956009116869,0.03,917
"28453","113","113","WA4724812058320120908",5400,0,0.5,0.885194514060307,0.0277216360002162,0.510568094873757,1.92348424493428,0.04,184
"28454","113","113","WA4724812058320120908",1800,0,0.5,0,0.147073504209966,0.510568094873757,1.15764159908372,0.03,883.5
"28456","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.873565416985463,1.41435626780786,0.03,582
"28458","113","113","WA4724812058320120908",7200,0,0.5,0,0.122372552467201,0.510568094873757,1.13294064734096,0.03,975.5
"28463","113","113","WA4724812058320120908",1800,0,0.5,0,0.0576869744537761,0.510568094873757,1.06825506932753,0.02,1418
"28481","113","113","WA4724812058320120908",3600,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28485","113","113","WA4724812058320120908",18900,0,0,0.757372529492512,0,0.510568094873757,1.26794062436627,0.03,752
"28486","113","113","WA4724812058320120908",1800,0,0.5,0,0.145491742167329,0.510568094873757,1.15605983704109,0.03,900
